Severity 1-day,Severity 2-day,Severity 3-day,Severity 4-day,Severity 5-day,Severity 6-day,Severity 7-day,Total Deaths Hospital,Hospital Name,CMS Certification Number,countyFIPS,CountyName,StateName,System Affiliation
3,3,3,3,3,3,3,362.58,Montefiore Hospital- Moses Campus,330059,36005,Bronx,New York,"Montefiore Health System - Bronx, NY"
3,3,3,3,3,3,3,195.52,NewYork-Presbyterian  Queens Hospital,330055,36081,Queens,New York,"New York-Presbyterian Healthcare System - New York, NY"
3,3,3,3,3,3,3,159.98,Maimonides Medical Center,330194,36047,Kings,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,159.46,Jamaica Hospital Medical Center,330014,36081,Queens,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,154.62,NYC Health + Hospitals Elmhurst,330128,36081,Queens,New York,"NYC Health + Hospitals - New York, NY"
3,3,3,3,3,3,3,132.12,Long Island Jewish Medical Center,330195,36059,Nassau,New York,"Northwell Health - Great Neck, NY"
3,3,3,3,3,3,3,120.11,NYU Langone Hospital - Brooklyn,330306,36047,Kings,New York,"NYU Langone Health - New York, NY"
3,3,3,3,3,3,3,114.73,Staten Island University Hospital,330160,36085,Richmond,New York,"Northwell Health - Great Neck, NY"
3,3,3,3,3,3,3,113.43,New York Presbyterian/Weill Cornell Medical Center,330101,36061,New York,New York,"New York-Presbyterian Healthcare System - New York, NY"
3,3,3,3,3,3,3,110.27,NewYork-Presbyterian Brooklyn Methodist Hospital,330236,36047,Kings,New York,"New York-Presbyterian Healthcare System - New York, NY"
3,3,3,3,3,3,3,102.32,North Shore University Hospital,330106,36059,Nassau,New York,"Northwell Health - Great Neck, NY"
3,3,3,3,3,3,3,100.26,Henry Ford Hospital,230053,26163,Wayne,Michigan,"Henry Ford Health System - Detroit, MI"
3,3,3,3,3,3,3,100.06,NYC Health + Hospitals Queens,330231,36081,Queens,New York,"NYC Health + Hospitals - New York, NY"
3,3,3,3,3,3,3,94.22,The Brookdale University Hospital and Medical Center,330233,36047,Kings,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,91.97,NYC Health + Hospitals Kings County,330202,36047,Kings,New York,"NYC Health + Hospitals - New York, NY"
3,3,3,3,3,3,3,86.92,Flushing Hospital Medical Center,330193,36081,Queens,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,85.31,Hackensack University Medical Center,310001,34003,Bergen,New Jersey,"Hackensack Meridian Health - Hackensack, NJ"
3,3,3,3,3,3,3,80.82,"BronxCare Dr. Martin Luther King, Jr. Health Center",330009,36005,Bronx,New York,"BronxCare Heath Care System - Bronx, NY"
3,3,3,3,3,3,3,73.67,University Hospital of Brooklyn,330350,36047,Kings,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,73.57,Saint John's Episcopal Hospital,330395,36081,Queens,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,73.37,Long Island Jewish Forest Hills Hospital,330353,36081,Queens,New York,"Northwell Health - Great Neck, NY"
3,3,3,3,3,3,3,71.52,NYU Winthrop Hospital,330167,36059,Nassau,New York,"NYU Langone Health - New York, NY"
3,3,3,3,3,3,3,69.15,NYU Langone Tisch Hospital,330214,36061,New York,New York,"NYU Langone Health - New York, NY"
3,3,3,3,3,3,3,68.52,Stony Brook University Hospital,330393,36103,Suffolk,New York,"Stony Brook Medicine - Stony Brook, NY"
3,3,3,3,3,3,3,67.81,NYC Health + Hospitals Coney Island,330196,36047,Kings,New York,"NYC Health + Hospitals - New York, NY"
3,3,3,3,3,3,3,66.51,Creedmoor Psychiatric Center,334004,36081,Queens,New York,"New York State Office of Mental Health - Albany, NY"
3,3,3,3,3,3,3,66.33,NYC Health + Hospitals Woodhull,330396,36047,Kings,New York,"NYC Health + Hospitals - New York, NY"
3,3,3,3,3,3,3,65.42,The Brooklyn Hospital Center,330056,36047,Kings,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,63.28,NYC Health + Hospitals Lincoln,330080,36005,Bronx,New York,"NYC Health + Hospitals - New York, NY"
3,3,3,3,3,3,3,62.86,NYC Health + Hospitals Jacobi,330127,36005,Bronx,New York,"NYC Health + Hospitals - New York, NY"
3,3,3,3,3,3,3,60.66,"Beaumont Hospital, Royal Oak",230130,26125,Oakland,Michigan,"Beaumont Health - Royal Oak, MI"
3,3,3,3,3,3,3,59.33,Memorial Sloan-Kettering Cancer Center,330154,36061,New York,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,50.31,Wyckoff Heights Medical Center,330221,36047,Kings,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,48.19,The Mount Sinai Hospital,330024,36061,New York,New York,"Mount Sinai Health System - New York, NY"
3,3,3,3,3,3,3,47.19,Saint Barnabas Hospital,330399,36005,Bronx,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,45.24,Westchester Medical Center,330234,36119,Westchester,New York,"Westchester Medical Center Health Network - Valhalla, NY"
3,3,3,3,3,3,3,43.51,Kingsbrook Jewish Medical Center,330201,36047,Kings,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,42.83,The University Hospital,310119,34013,Essex,New Jersey,"Not In Any System - ,"
3,3,3,3,3,3,3,40.98,Saint Joseph's University Medical Center,310019,34031,Passaic,New Jersey,"Saint Joseph's Healthcare System - Paterson, NJ"
3,3,3,3,3,3,3,40.83,Richmond University Medical Center,330028,36085,Richmond,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,39.72,Interfaith Medical Center,330397,36047,Kings,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,39.62,Phoebe Putney Memorial Hospital,110007,13095,Dougherty,Georgia,"Phoebe Putney Health System - Albany, GA"
3,3,3,3,3,3,3,39.39,The Valley Hospital,310012,34003,Bergen,New Jersey,"Valley Health System - Ridgewood, NJ"
3,3,3,3,3,3,3,37.97,Mount Sinai  Queens,330258,36081,Queens,New York,"Mount Sinai Health System - New York, NY"
3,3,3,3,3,3,3,37.03,Saint Barnabas Medical Center,310076,34013,Essex,New Jersey,"RWJBarnabas Health - West Orange, NJ"
3,3,3,3,3,3,3,36.48,White Plains Hospital,330304,36119,Westchester,New York,"Montefiore Health System - Bronx, NY"
3,3,3,3,3,3,3,35.89,Newark Beth Israel Medical Center,310002,34013,Essex,New Jersey,"RWJBarnabas Health - West Orange, NJ"
3,3,3,3,3,3,3,35.43,Providence Regional Medical Center Everett Colby Campus,500014,53061,Snohomish,Washington,"Providence St. Joseph Health - Renton, WA"
3,3,3,3,3,3,3,35.36,Montefiore Wakefield Campus,330072,36005,Bronx,New York,"Montefiore Health System - Bronx, NY"
3,3,3,3,3,3,3,34.59,"Beaumont Hospital,  Dearborn",230020,26163,Wayne,Michigan,"Beaumont Health - Royal Oak, MI"
3,3,3,3,3,3,3,31.13,Jersey City Medical Center,310074,34017,Hudson,New Jersey,"RWJBarnabas Health - West Orange, NJ"
3,3,3,3,3,3,3,31.1,Henry Ford Macomb Hospital - Clinton Township,230047,26099,Macomb,Michigan,"Henry Ford Health System - Detroit, MI"
3,3,3,3,3,3,3,30.22,Ascension Macomb - Oakland Hospital Warren Campus,230195,26099,Macomb,Michigan,"Ascension Health - Saint Louis, MO"
3,3,3,3,3,3,3,30.1,Morristown Medical Center,310015,34027,Morris,New Jersey,"Atlantic Health System - Morristown, NJ"
3,3,3,3,3,3,3,29.97, Ascension Saint John Hospital,230165,26163,Wayne,Michigan,"Ascension Health - Saint Louis, MO"
3,3,3,3,3,3,3,29.97,Seattle Children's Hospital & Regional Medical Center,503300,53033,King,Washington,"Not In Any System - ,"
3,3,3,3,3,3,3,29.75,"Beaumont Hospital, Troy",230269,26125,Oakland,Michigan,"Beaumont Health - Royal Oak, MI"
3,3,3,3,3,3,3,29.69,Overlook Medical Center,310051,34039,Union,New Jersey,"Atlantic Health System - Morristown, NJ"
3,3,3,3,3,3,3,28.77,Englewood Hospital and Medical Center,310045,34003,Bergen,New Jersey,"Not In Any System - ,"
3,3,3,3,3,3,3,28.35,McLaren Macomb,230227,26099,Macomb,Michigan,"McLaren Health Care - Flint, MI"
3,3,3,3,3,3,3,28.31,Good Samaritan Hospital Medical Center,330286,36103,Suffolk,New York,"Catholic Health Services of Long Island - Rockville Centre, NY"
3,3,3,3,3,3,3,28.03,Mount Sinai South Nassau,330198,36059,Nassau,New York,"Mount Sinai Health System - New York, NY"
3,3,3,3,3,3,3,27.76,Trinitas Regional Medical Center,310027,34039,Union,New Jersey,"Not In Any System - ,"
3,3,3,3,3,3,3,27.53,Rockland Psychiatric Center,334015,36087,Rockland,New York,"New York State Office of Mental Health - Albany, NY"
3,3,3,3,3,3,3,26.9,Saint Francis Hospital The Heart Center,330182,36059,Nassau,New York,"Catholic Health Services of Long Island - Rockville Centre, NY"
3,3,3,3,3,3,3,26.32,Southside Hospital,330043,36103,Suffolk,New York,"Northwell Health - Great Neck, NY"
3,3,3,3,3,3,3,25.84,Virginia Mason Hospital and Seattle Medical Center,500005,53033,King,Washington,"Not In Any System - ,"
3,3,3,3,3,3,3,25.27,Holy Name Medical Center,310008,34003,Bergen,New Jersey,"Not In Any System - ,"
3,3,3,3,3,3,3,25.21,Good Samaritan Hospital,330158,36087,Rockland,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,24.69,Orange Regional Medical Center,330126,36071,Orange,New York,"Garnet Health - Middletown, NY"
3,3,3,3,3,3,3,24.44,Robert Wood Johnson University Hospital New Brunswick,310038,34023,Middlesex,New Jersey,"RWJBarnabas Health - West Orange, NJ"
3,3,3,3,3,3,3,24.43,Mount Sinai Morningside,330046,36061,New York,New York,"Mount Sinai Health System - New York, NY"
3,3,3,3,3,3,3,23.88,Swedish First Hill Campus,500027,53033,King,Washington,"Swedish - Seattle, WA"
3,3,3,3,3,3,3,23.76,University of Washington Medical Center-Montlake,500008,53033,King,Washington,"University of Washington Medicine - Seattle, WA"
3,3,3,3,3,3,3,23.59,Jersey Shore University Medical Center,310073,34025,Monmouth,New Jersey,"Hackensack Meridian Health - Hackensack, NJ"
3,3,3,3,3,3,3,23.4,Nassau University Medical Center,330027,36059,Nassau,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,23.4,Community Medical Center,310041,34029,Ocean,New Jersey,"RWJBarnabas Health - West Orange, NJ"
3,3,3,3,3,3,3,23.36,Baystate Medical Center,220077,25013,Hampden,Massachusetts,"Baystate Health System, Inc - Springfield, MA"
3,3,3,3,3,3,3,23.26,Montefiore Nyack Hospital,330104,36087,Rockland,New York,"Montefiore Health System - Bronx, NY"
3,3,3,3,3,3,3,23.16,Yale-New Haven Hospital,70022,9009,New Haven,Connecticut,"Yale New Haven Health - New Haven, CT"
3,3,3,3,3,3,3,23.06,North Colorado Medical Center,60001,8123,Weld,Colorado,"Banner Health - Phoenix, AZ"
3,3,3,3,3,3,3,22.94,Harborview Medical Center,500064,53033,King,Washington,"University of Washington Medicine - Seattle, WA"
3,3,3,3,3,3,3,22.64,Lenox Hill Hospital,330119,36061,New York,New York,"Northwell Health - Great Neck, NY"
3,3,3,3,3,3,3,22.57,"Ascension Providence Hospital, Southfield Campus",230019,26125,Oakland,Michigan,"Ascension Health - Saint Louis, MO"
3,3,3,3,3,3,3,21.71,Kingsboro Psychiatric Center,334063,36047,Kings,New York,"New York State Office of Mental Health - Albany, NY"
3,3,3,3,3,3,3,21.66,Saint Joseph's Medical Center,330006,36119,Westchester,New York,"Saint Joseph's Medical Center - Yonkers, NY"
3,3,3,3,3,3,3,21.07,Ocean Medical Center,310052,34029,Ocean,New Jersey,"Hackensack Meridian Health - Hackensack, NJ"
3,3,3,3,3,3,3,20.61,NYC Health + Hospitals North Central Bronx,330385,36005,Bronx,New York,"NYC Health + Hospitals - New York, NY"
3,3,3,3,3,3,3,20.48,Saint John's Riverside Hospital - Andrus Pavilion,330208,36119,Westchester,New York,"St. John's Riverside Hospital - Westchester, NY"
3,3,3,3,3,3,3,20.12,Saint Vincent's Medical Center,70028,9001,Fairfield,Connecticut,"Hartford Healthcare - Hartford, CT"
3,3,3,3,3,3,3,20,Mount Sinai Beth Israel Medical Center,330169,36061,New York,New York,"Mount Sinai Health System - New York, NY"
3,3,3,3,3,3,3,19.97,"Beaumont Hospital, Grosse Pointe",230089,26163,Wayne,Michigan,"Beaumont Health - Royal Oak, MI"
3,3,3,3,3,3,3,19.63,Stamford Hospital,70006,9001,Fairfield,Connecticut,"Not In Any System - ,"
3,3,3,3,3,3,3,19.57,Hospital for Special Surgery,330270,36061,New York,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,19.37,DMC Harper University Hospital,230104,26163,Wayne,Michigan,"TENET Healthcare - Dallas, TX"
3,3,3,3,3,3,3,19.22,Rush University Medical Center,140119,17031,Cook,Illinois,"Rush System for Health - Chicago, IL"
3,3,3,3,3,3,3,19,PeaceHealth Saint Joseph Medical Center,500030,53073,Whatcom,Washington,"PeaceHealth - Bellevue, WA"
3,3,3,3,3,3,3,18.85,Phelps Memorial Hospital Center,330261,36119,Westchester,New York,"Northwell Health - Great Neck, NY"
3,3,3,3,3,3,3,18.33,Huntington Hospital,330045,36103,Suffolk,New York,"Northwell Health - Great Neck, NY"
3,3,3,3,3,3,3,18.21,Saint Mary Mercy Livonia Hospital,230002,26163,Wayne,Michigan,"Trinity Health - Livonia, MI"
3,3,3,3,3,3,3,18.14,Danbury Hospital,70033,9001,Fairfield,Connecticut,"Nuvance Health - Danbury, CT"
